TIME,REAL 5,IMAGINARY 5,PHASE 5,IMPEDANCE 5,REAL 6,IMAGINARY 6,PHASE 6,IMPEDANCE 6,REAL 7,IMAGINARY 7,PHASE 7,IMPEDANCE 7,REAL 8,IMAGINARY 8,PHASE 8,IMPEDANCE 8,REAL 9,IMAGINARY 9,PHASE 9,IMPEDANCE 9,REAL 10,IMAGINARY 10,PHASE 10,IMPEDANCE 10,REAL 11,IMAGINARY 11,PHASE 11,IMPEDANCE 11,REAL 12,IMAGINARY 12,PHASE 12,IMPEDANCE 12,REAL 13,IMAGINARY 13,PHASE 13,IMPEDANCE 13,REAL 15,IMAGINARY 15,PHASE 15,IMPEDANCE 15,REAL 17,IMAGINARY 17,PHASE 17,IMPEDANCE 17,REAL 18,IMAGINARY 18,PHASE 18,IMPEDANCE 18,REAL 19,IMAGINARY 19,PHASE 19,IMPEDANCE 19,REAL 20,IMAGINARY 20,PHASE 20,IMPEDANCE 20,REAL 21,IMAGINARY 21,PHASE 21,IMPEDANCE 21
0.22,3336,-1923,-0.12,4978.78,3251,-2225,-0.2,4866.39,2155,-1621,-0.24,7109.36,2888,-2200,-0.25,5280.57,3037,-2406,-0.27,4947.95,2826,-2276,-0.28,5283.39,2991,-2424,-0.28,4979.62,2756,-2181,-0.27,5454.73,2703,-2142,-0.27,5558.74,2313,-1956,-0.3,6328.82,2763,-2241,-0.28,5388.84,2591,-2042,-0.27,5811.29,2717,-2099,-0.26,5583.79,2576,-2122,-0.29,5744.22,2748,-2135,-0.26,5509.09
0.33,3336,-1921,-0.12,4980.08,3250,-2223,-0.2,4868.8,2154,-1621,-0.24,7111.47,2888,-2201,-0.25,5279.69,3035,-2409,-0.27,4947.57,2829,-2277,-0.28,5279.08,2991,-2425,-0.28,4978.8,2756,-2182,-0.27,5453.77,2703,-2144,-0.27,5556.74,2313,-1957,-0.3,6327.47,2763,-2242,-0.28,5387.88,2593,-2040,-0.26,5810.7,2711,-2105,-0.26,5585.53,2577,-2122,-0.29,5742.89,2750,-2135,-0.26,5506.6
0.45,3335,-1922,-0.12,4980.55,3248,-2224,-0.2,4870.15,2156,-1621,-0.24,7107.25,2888,-2201,-0.25,5279.69,3036,-2407,-0.27,4948.16,2826,-2277,-0.28,5282.48,2991,-2424,-0.28,4979.62,2754,-2183,-0.27,5455.24,2705,-2144,-0.27,5554.22,2314,-1956,-0.3,6327.23,2763,-2242,-0.28,5387.88,2591,-2042,-0.27,5811.29,2708,-2106,-0.26,5588.39,2574,-2122,-0.29,5746.88,2748,-2133,-0.26,5511.04
0.56,3334,-1923,-0.12,4981.03,3249,-2223,-0.2,4869.83,2153,-1620,-0.24,7115.16,2887,-2201,-0.25,5280.84,3037,-2409,-0.27,4945.57,2830,-2276,-0.27,5278.86,2992,-2424,-0.28,4978.61,2756,-2182,-0.27,5453.77,2705,-2144,-0.27,5554.22,2314,-1957,-0.3,6325.88,2762,-2241,-0.28,5390.01,2591,-2042,-0.27,5811.29,2704,-2108,-0.26,5591.53,2574,-2119,-0.29,5750.16,2748,-2132,-0.26,5512.01
0.68,3334,-1920,-0.12,4982.97,3248,-2222,-0.2,4871.55,2151,-1619,-0.24,7120.98,2887,-2198,-0.25,5283.49,3035,-2404,-0.27,4951.54,2826,-2274,-0.28,5285.22,2991,-2420,-0.28,4982.88,2757,-2183,-0.27,5451.59,2705,-2144,-0.27,5554.22,2313,-1956,-0.3,6328.82,2763,-2243,-0.28,5386.93,2593,-2040,-0.26,5810.7,2702,-2110,-0.26,5592.1,2576,-2119,-0.29,5747.5,2748,-2134,-0.26,5510.07
0.79,3335,-1918,-0.12,4983.14,3247,-2221,-0.2,4873.27,2153,-1617,-0.24,7119.93,2886,-2200,-0.25,5282.88,3037,-2406,-0.27,4947.95,2828,-2276,-0.28,5281.13,2993,-2425,-0.28,4976.8,2756,-2182,-0.27,5453.77,2705,-2146,-0.27,5552.22,2313,-1958,-0.3,6326.13,2763,-2243,-0.28,5386.93,2593,-2039,-0.26,5811.79,2702,-2111,-0.26,5591.1,2575,-2120,-0.29,5747.74,2748,-2134,-0.26,5510.07
0.9,3333,-1919,-0.12,4984.73,3247,-2222,-0.2,4872.57,2152,-1615,-0.24,7125.22,2888,-2203,-0.25,5277.93,3035,-2407,-0.27,4949.16,2828,-2278,-0.28,5279.3,2991,-2423,-0.28,4980.43,2757,-2183,-0.27,5451.59,2704,-2144,-0.27,5555.48,2313,-1957,-0.3,6327.47,2762,-2240,-0.28,5390.97,2590,-2041,-0.26,5813.76,2699,-2110,-0.26,5595.96,2573,-2121,-0.29,5749.3,2749,-2131,-0.26,5511.73
1.02,3333,-1918,-0.12,4985.38,3245,-2221,-0.2,4875.31,2149,-1616,-0.24,7129.98,2888,-2200,-0.25,5280.57,3038,-2407,-0.27,4946.16,2830,-2275,-0.27,5279.77,2992,-2426,-0.28,4976.99,2758,-2182,-0.27,5451.34,2704,-2147,-0.27,5552.48,2314,-1956,-0.3,6327.23,2763,-2242,-0.28,5387.88,2592,-2040,-0.26,5812.08,2698,-2111,-0.26,5596.24,2573,-2119,-0.29,5751.5,2747,-2134,-0.26,5511.32
1.13,3331,-1917,-0.12,4988.28,3244,-2221,-0.2,4876.34,2149,-1615,-0.24,7131.58,2886,-2201,-0.25,5282,3037,-2408,-0.27,4946.36,2828,-2278,-0.28,5279.3,2994,-2425,-0.28,4975.79,2757,-2184,-0.27,5450.63,2706,-2146,-0.27,5550.96,2312,-1955,-0.3,6331.77,2761,-2242,-0.28,5390.23,2592,-2041,-0.26,5810.99,2696,-2112,-0.26,5597.8,2574,-2118,-0.29,5751.26,2748,-2130,-0.26,5513.95
1.25,3331,-1916,-0.12,4988.92,3246,-2219,-0.2,4875.69,2148,-1615,-0.24,7133.7,2885,-2201,-0.25,5283.16,3037,-2408,-0.27,4946.36,2829,-2277,-0.28,5279.08,2994,-2425,-0.28,4975.79,2757,-2183,-0.27,5451.59,2707,-2144,-0.27,5551.7,2313,-1957,-0.3,6327.47,2762,-2242,-0.28,5389.06,2593,-2042,-0.26,5808.52,2696,-2111,-0.26,5598.81,2573,-2118,-0.29,5752.59,2750,-2130,-0.26,5511.45
